OBJECTID,Year,Reported Date,Occurred Date,Weekday,Offence Category,Sector,Division,Neighbourhood,Ward,Councillor,x,y
27,2018,9/15/2018 5:00:00 AM,9/15/2018 5:00:00 AM,Saturday,Homicide-1St Degree Murder,35,East,Hunt Club Woods - Quintarra - Revelstoke,Ward 16 - River,Riley Brockington,370077.721900004,5025791.52789946
28,2022,9/11/2022 5:00:00 AM,9/11/2022 5:00:00 AM,Sunday,Homicide-1St Degree Murder,15,West,Woodvale - Craig Henry - Manordale - Estates of Arlington Woods,Ward 9 - Knoxdale-Merivale,Sean Devine,363035.687900002,5021802.49289946
29,2021,7/22/2021 5:00:00 AM,7/22/2021 5:00:00 AM,Thursday,Homicide-1St Degree Murder,15,West,Woodvale - Craig Henry - Manordale - Estates of Arlington Woods,Ward 9 - Knoxdale-Merivale,Sean Devine,363206.689000002,5021237.48789946
30,2018,2/11/2018 5:00:00 AM,2/5/2018 5:00:00 AM,Monday,Homicide-1St Degree Murder,17,West,Cityview - Skyline - Fisher Heights,Ward 9 - Knoxdale-Merivale,Sean Devine,365289.700000003,5025022.52189946
31,2022,2/21/2022 5:00:00 AM,2/21/2022 5:00:00 AM,Monday,Homicide-1St Degree Murder,35,East,Greenboro East,Ward 10 - Gloucester-Southgate,Jessica Bradley,372676.535400005,5025829.62619946
32,2021,1/16/2021 5:00:00 AM,1/16/2021 5:00:00 AM,Saturday,Homicide-1St Degree Murder,35,East,Greenboro East,Ward 10 - Gloucester-Southgate,Jessica Bradley,372592.914000004,5025136.16299946
33,2018,5/27/2018 5:00:00 AM,5/27/2018 5:00:00 AM,Sunday,Homicide-1St Degree Murder,35,East,Greenboro East,Ward 10 - Gloucester-Southgate,Jessica Bradley,372073.732100003,5024695.51809946
34,2018,2/10/2018 5:00:00 AM,2/8/2018 5:00:00 AM,Thursday,Homicide-1St Degree Murder,31,East,Orléans Chatelaine Village,Ward 1 - Orléans East-Cumberland,Matthew Luloff,383559.907100009,5039618.70109946
35,2022,6/28/2022 5:00:00 AM,6/28/2022 5:00:00 AM,Tuesday,Homicide-1St Degree Murder,34,East,Ledbury - Heron Gate - Ridgemont - Elmwood,Ward 18 - Alta Vista,Marty Carr,370256.721900002,5026800.53509946
36,2022,6/28/2022 5:00:00 AM,6/28/2022 5:00:00 AM,Tuesday,Homicide-1St Degree Murder,34,East,Ledbury - Heron Gate - Ridgemont - Elmwood,Ward 18 - Alta Vista,Marty Carr,370256.721900002,5026800.53509946
37,2018,3/4/2018 5:00:00 AM,3/4/2018 5:00:00 AM,Sunday,Homicide-2Nd Degree Murder,34,East,Billings Bridge - Alta Vista,Ward 17 - Capital,Shawn Menard,369016.044100003,5027428.94009946
38,2018,5/24/2018 5:00:00 AM,5/24/2018 5:00:00 AM,Thursday,Homicide-1St Degree Murder,23,Central,Centretown,Ward 14 - Somerset,Ariel Troster,367948.704900004,5031549.57809946
39,2018,1/18/2018 5:00:00 AM,1/18/2018 5:00:00 AM,Thursday,Homicide-2Nd Degree Murder,23,Central,Centretown,Ward 14 - Somerset,Ariel Troster,368556.709000002,5030905.57099946
40,2020,1/8/2020 5:00:00 AM,1/8/2020 5:00:00 AM,Wednesday,Homicide-1St Degree Murder,23,Central,Centretown,Ward 14 - Somerset,Ariel Troster,367617.249600002,5030672.87149946
41,2021,5/26/2021 5:00:00 AM,5/26/2021 5:00:00 AM,Wednesday,Homicide-1St Degree Murder,32,East,Cummings,Ward 11 - Beacon Hill-Cyrville,Tim Tierney,373748.726000003,5032387.57399946
42,2020,7/27/2020 5:00:00 AM,7/27/2020 5:00:00 AM,Monday,Homicide-1St Degree Murder,32,East,Carson Grove - Carson Meadows,Ward 13 - Rideau-Rockcliffe,Rawlson King,372741.361600004,5034102.57509946
43,2021,3/7/2021 5:00:00 AM,3/7/2021 5:00:00 AM,Sunday,Homicide-1St Degree Murder,12,West,Richmond,Ward 21 - Rideau-Jock,David Brown,358676.618900001,5003930.32489946
44,2020,4/13/2020 5:00:00 AM,4/10/2020 5:00:00 AM,Friday,Homicide-1St Degree Murder,14,West,Whitehaven - Queensway Terrace North,Ward 7 - Bay,Theresa Kavanagh,359890.284100001,5023986.34299946
45,2020,8/21/2020 5:00:00 AM,8/21/2020 5:00:00 AM,Friday,Homicide-1St Degree Murder,14,West,Whitehaven - Queensway Terrace North,Ward 7 - Bay,Theresa Kavanagh,359944.677000001,5024259.01059946
