OBJECTID,ID,Year,Reported Date,Occurred Date,Weekday,Hate Crime Type,Hate Crime Motivation,Hate Crime Status,Offence Category,Neighbourhood,Sector,Division,Census Tract,Ward,Councillor,Offence Type
495,494,2020,6/10/2020 12:00:00 AM,6/2/2020 12:00:00 AM,Tuesday,Religion,Jewish,Hatecrime Happened,Mischief Cultural Property,Lebreton Development,Sector 22,Central,5050047.00,Ward 14 - Somerset,Ariel Troster,Criminal
496,495,2021,7/19/2021 12:00:00 AM,7/19/2021 12:00:00 AM,Monday,Race/Ethnicity,East and Southeast Asian,Hatecrime Happened,Threats Utter To Person,Carlingwood West - Glabar Park - McKellar Heights,Sector 14,West,5050025.00,Ward 7 - Bay,Theresa Kavanagh,Criminal
497,496,2018,5/8/2018 12:00:00 AM,5/8/2018 12:00:00 AM,Tuesday,Religion,Jewish,Hatecrime Happened,Mischief To Property,Centrepointe,Sector 15,West,5050137.05,Ward 8 - College,Laine Johnson,Criminal
498,497,2020,7/23/2020 12:00:00 AM,7/20/2020 12:00:00 AM,Monday,Race/Ethnicity,South Asian,Hatecrime Suspected,Theft < $5000,West Centertown,Sector 22,Central,5050041.00,Ward 14 - Somerset,Ariel Troster,Criminal
499,498,2023,10/19/2023 12:00:00 AM,10/13/2023 12:00:00 AM,Friday,Gender,LGBTQ2+,Hatecrime Happened,Information ( General),New Barrhaven - New Development - Stonebridge,Sector 16,West,5050141.16,Ward 24 - Barrhaven East,Wilson Lo,Non Criminal
500,499,2023,4/27/2023 12:00:00 AM,4/27/2023 12:00:00 AM,Thursday,Race/Ethnicity,Black,Hatecrime Suspected,Assault Level 1,New Barrhaven - New Development - Stonebridge,Sector 16,West,5050141.11,Ward 24 - Barrhaven East,Wilson Lo,Criminal
501,500,2020,2/11/2020 12:00:00 AM,2/11/2020 12:00:00 AM,Tuesday,Race/Ethnicity,Black,Hatecrime Happened,Dispute- Neighbour,Carlington,Sector 21,Central,5050021.00,Ward 16 - River,Riley Brockington,Non Criminal
502,1502,2023,6/19/2023 12:00:00 AM,6/18/2023 12:00:00 AM,Sunday,Sexual Orientation,LGBTQ2+,Hatecrime Suspected,Theft < $5000,Osgoode,Sector 36,East,5050191.02,Ward 20 - Osgoode,George Darouze,Criminal
503,1503,2023,8/6/2023 12:00:00 AM,8/6/2023 12:00:00 AM,Sunday,Race/Ethnicity,"India,Pakistan/South Asian",Hatecrime Happened,Assault Level 1,Cummings,Sector 32,East,5050122.03,Ward 11 - Beacon Hill-Cyrville,Tim Tierney,Criminal
504,1504,2020,4/14/2020 12:00:00 AM,4/14/2020 12:00:00 AM,Tuesday,Sexual Orientation,LGBTQ2+,Hatecrime Happened,Threats Utter To Person,Cummings,Sector 32,East,5050122.03,Ward 11 - Beacon Hill-Cyrville,Tim Tierney,Criminal
505,1505,2021,7/24/2021 12:00:00 AM,7/23/2021 12:00:00 AM,Friday,Race/Ethnicity,Unknown race/ethnicity,Hatecrime Suspected,Dispute- Disturbance,Cummings,Sector 32,East,5050122.03,Ward 11 - Beacon Hill-Cyrville,Tim Tierney,Non Criminal
506,1506,2024,1/23/2024 12:00:00 AM,1/23/2024 12:00:00 AM,Tuesday,Religion,Muslim (Islam),Hatecrime Happened,Mischief To Property,Overbrook - McArthur,Sector 25,Central,5050101.00,Ward 12 - Rideau-Vanier,Stéphanie Plante,Criminal
507,1507,2023,2/27/2023 12:00:00 AM,2/27/2023 12:00:00 AM,Monday,Religion,Muslim (Islam),Hatecrime Happened,Assault With Weapon Or Cbh Lv2,Ledbury - Heron Gate - Ridgemont - Elmwood,Sector 34,East,5050005.00,Ward 17 - Capital,Shawn Menard,Criminal
508,1508,2023,2/27/2023 12:00:00 AM,2/27/2023 12:00:00 AM,Monday,Religion,Other Christian Religion,Hatecrime Happened,Assault With Weapon Or Cbh Lv2,Ledbury - Heron Gate - Ridgemont - Elmwood,Sector 34,East,5050005.00,Ward 17 - Capital,Shawn Menard,Criminal
509,1509,2021,11/9/2021 12:00:00 AM,11/5/2021 12:00:00 AM,Friday,Race/Ethnicity,Black,Hatecrime Happened,Mischief To Property,Vanier North,Sector 25,Central,5050103.00,Ward 12 - Rideau-Vanier,Stéphanie Plante,Criminal
510,1510,2022,12/2/2022 12:00:00 AM,12/1/2022 12:00:00 AM,Thursday,Race/Ethnicity,Black,Hatecrime Happened,Mischief To Property,Rothwell Heights - Beacon Hill North,Sector 32,East,5050120.02,Ward 11 - Beacon Hill-Cyrville,Tim Tierney,Criminal
511,1511,2022,11/17/2022 12:00:00 AM,11/15/2022 12:00:00 AM,Tuesday,Religion,Catholic,Hatecrime Happened,Fire Arson Property Damage,Overbrook - McArthur,Sector 25,Central,5050101.00,Ward 12 - Rideau-Vanier,Stéphanie Plante,Criminal
512,1512,2020,3/19/2020 12:00:00 AM,3/19/2020 12:00:00 AM,Thursday,Gender,Woman,Hatecrime Suspected,Suspicious Circumstance( S),Rothwell Heights - Beacon Hill North,Sector 32,East,5050120.02,Ward 11 - Beacon Hill-Cyrville,Tim Tierney,Non Criminal
513,1513,2020,9/21/2020 12:00:00 AM,9/21/2020 12:00:00 AM,Monday,Race/Ethnicity,East and Southeast Asian,Hatecrime Suspected,Traffic Complaint -  Person,Orléans North West,Sector 31,East,5050124.03,Ward 2 - Orléans West-Innes,Laura Dudas,Non Criminal
514,1514,2022,12/16/2022 12:00:00 AM,12/15/2022 12:00:00 AM,Thursday,Sexual Orientation,Other sexual orientation,Hatecrime Happened,Threats Utter To Person,Blackburn Hamlet,Sector 31,East,5050125.02,Ward 2 - Orléans West-Innes,Laura Dudas,Criminal
515,1515,2022,4/11/2022 12:00:00 AM,4/11/2022 12:00:00 AM,Monday,Race/Ethnicity,"Arab(West Asian,Middle Eastern and North African origins)",Hatecrime Happened,Dispute- Disturbance,Hunt Club East - Western Community,Sector 35,East,5050002.02,Ward 16 - River,Riley Brockington,Non Criminal
516,1516,2022,10/25/2022 12:00:00 AM,10/25/2022 12:00:00 AM,Tuesday,Race/Ethnicity,Multiple Races/Ethnicities,Hatecrime Happened,"Suicide Counsel, Aid",Orléans Avalon - Notting Gate - Fallingbrook - Gardenway South,Sector 31,East,5050170.09,Ward 1 - Orléans East-Cumberland,Matthew Luloff,Criminal
517,1517,2023,6/13/2023 12:00:00 AM,6/13/2023 12:00:00 AM,Tuesday,Combination (More than 2 Motivations),Combination (More than 2 Motivations),Hatecrime Happened,Harass Communications,Orléans Avalon - Notting Gate - Fallingbrook - Gardenway South,Sector 31,East,5050170.09,Ward 1 - Orléans East-Cumberland,Matthew Luloff,Criminal
518,1518,2022,10/4/2022 12:00:00 AM,10/4/2022 12:00:00 AM,Tuesday,Religion,Jewish,Hatecrime Happened,Threats Utter To Person,Orléans Avalon - Notting Gate - Fallingbrook - Gardenway South,Sector 31,East,5050170.09,Ward 1 - Orléans East-Cumberland,Matthew Luloff,Criminal
519,1519,2021,7/8/2021 12:00:00 AM,7/6/2021 12:00:00 AM,Tuesday,Race/Ethnicity,"Arab(West Asian,Middle Eastern and North African origins)",Hatecrime Suspected,Mischief To Property,Orléans Chapel Hill,Sector 31,East,5050125.04,Ward 2 - Orléans West-Innes,Laura Dudas,Criminal
520,1520,2020,11/18/2020 12:00:00 AM,11/18/2020 12:00:00 AM,Wednesday,Other Similar Factor,non,Hatecrime Happened,Mischief To Property,Orléans Avalon - Notting Gate - Fallingbrook - Gardenway South,Sector 31,East,5050171.12,Ward 19 - Orléans South-Navan,Catherine Kitts,Criminal
521,1521,2023,1/25/2023 12:00:00 AM,1/25/2023 12:00:00 AM,Wednesday,Race/Ethnicity,Indigenous/Aboriginal,Hatecrime Suspected,Assault Level 1,Overbrook - McArthur,Sector 25,Central,5050013.00,Ward 13 - Rideau-Rockcliffe,Rawlson King,Criminal
522,1522,2023,2/21/2023 12:00:00 AM,1/30/2023 12:00:00 AM,Monday,Religion,Jewish,Hatecrime Happened,Suspicious Circumstance( S),Orléans North West,Sector 31,East,5050124.02,Ward 2 - Orléans West-Innes,Laura Dudas,Non Criminal
523,1523,2020,7/27/2020 12:00:00 AM,7/27/2020 12:00:00 AM,Monday,Race/Ethnicity,Black,Hatecrime Happened,Mischief To Property,Pineview,Sector 32,East,5050122.02,Ward 11 - Beacon Hill-Cyrville,Tim Tierney,Criminal
524,1524,2022,7/25/2022 12:00:00 AM,7/25/2022 12:00:00 AM,Monday,Race/Ethnicity,Multiple Races/Ethnicities,Hatecrime Happened,Mischief To Property,Greely,Sector 36,East,5050190.02,Ward 20 - Osgoode,George Darouze,Criminal
525,1525,2022,5/20/2022 12:00:00 AM,5/20/2022 12:00:00 AM,Friday,Race/Ethnicity,Black,Hatecrime Happened,Mischief To Property,Greely,Sector 36,East,5050190.02,Ward 20 - Osgoode,George Darouze,Criminal
526,1526,2021,8/3/2021 12:00:00 AM,7/2/2021 12:00:00 AM,Friday,Religion,Jewish,Hatecrime Happened,B&e Non- Res.prop/ Commercial,Greely,Sector 36,East,5050190.02,Ward 20 - Osgoode,George Darouze,Criminal
527,1527,2021,6/28/2021 12:00:00 AM,6/28/2021 12:00:00 AM,Monday,Religion,Jewish,Hatecrime Happened,Mischief To Property,Greely,Sector 36,East,5050190.02,Ward 20 - Osgoode,George Darouze,Criminal
528,1528,2021,4/16/2021 12:00:00 AM,4/16/2021 12:00:00 AM,Friday,Religion,Jewish,Hatecrime Happened,Mischief To Property,Greely,Sector 36,East,5050190.02,Ward 20 - Osgoode,George Darouze,Criminal
529,1529,2018,11/23/2018 12:00:00 AM,11/23/2018 12:00:00 AM,Friday,Race/Ethnicity,Other race/ethnicity,Hatecrime Happened,Mischief To Property,Riverside South - Leitrim,Sector 35,East,5050126.07,Ward 22 - Riverside South-Findlay Creek,Steve Desroches,Criminal
530,1530,2018,1/23/2018 12:00:00 AM,1/1/2018 12:00:00 AM,Monday,Religion,Jewish,Hatecrime Happened,Mischief To Property,Vanier North,Sector 25,Central,5050103.00,Ward 12 - Rideau-Vanier,Stéphanie Plante,Criminal
531,1531,2022,6/25/2022 12:00:00 AM,6/25/2022 12:00:00 AM,Saturday,Race/Ethnicity,Black,Hatecrime Happened,Assault Level 1,Vanier North,Sector 25,Central,5050103.00,Ward 12 - Rideau-Vanier,Stéphanie Plante,Criminal
532,1532,2023,8/29/2023 12:00:00 AM,8/29/2023 12:00:00 AM,Tuesday,Race/Ethnicity,"Arab(West Asian,Middle Eastern and North African origins)",Hatecrime Happened,Dispute- Neighbour,Orléans Chapel Hill South,Sector 31,East,5050125.10,Ward 19 - Orléans South-Navan,Catherine Kitts,Non Criminal
533,1533,2023,6/30/2023 12:00:00 AM,6/30/2023 12:00:00 AM,Friday,Race/Ethnicity,Black,Hatecrime Happened,Mischief To Property,Orléans Avalon - Notting Gate - Fallingbrook - Gardenway South,Sector 31,East,5050171.12,Ward 19 - Orléans South-Navan,Catherine Kitts,Criminal
534,1534,2021,9/5/2021 12:00:00 AM,9/5/2021 12:00:00 AM,Sunday,Religion,Jewish,Hatecrime Happened,Mischief To Property,Orléans Chapel Hill South,Sector 31,East,5050125.10,Ward 19 - Orléans South-Navan,Catherine Kitts,Criminal
535,1535,2020,6/13/2020 12:00:00 AM,6/12/2020 12:00:00 AM,Friday,Sexual Orientation,LGBTQ2+,Hatecrime Happened,Theft < $5000,Orléans Avalon - Notting Gate - Fallingbrook - Gardenway South,Sector 31,East,5050171.11,Ward 19 - Orléans South-Navan,Catherine Kitts,Criminal
536,1536,2021,6/6/2021 12:00:00 AM,6/6/2021 12:00:00 AM,Sunday,Religion,Muslim (Islam),Hatecrime Happened,Threats Utter To Person,Orléans Village - Chateauneuf,Sector 31,East,5050125.09,Ward 2 - Orléans West-Innes,Laura Dudas,Criminal
537,1537,2022,12/12/2022 12:00:00 AM,12/12/2022 12:00:00 AM,Monday,Religion,Muslim (Islam),Hatecrime Happened,Assault Level 1,Vanier South,Sector 25,Central,5050102.00,Ward 12 - Rideau-Vanier,Stéphanie Plante,Criminal
538,1538,2023,10/15/2023 12:00:00 AM,10/15/2023 12:00:00 AM,Sunday,Race/Ethnicity,Black,Hatecrime Happened,Mischief Hate Cultrl/ Rel Prop,Orléans Chapel Hill South,Sector 31,East,5050125.10,Ward 19 - Orléans South-Navan,Catherine Kitts,Criminal
539,1539,2021,1/27/2021 12:00:00 AM,1/27/2021 12:00:00 AM,Wednesday,Race/Ethnicity,"Arab(West Asian,Middle Eastern and North African origins)",Hatecrime Happened,Assault With Weapon Or Cbh Lv2,Russell - Edwards,Sector 37,East,5050126.08,Ward 22 - Riverside South-Findlay Creek,Steve Desroches,Criminal
540,1540,2023,10/23/2023 12:00:00 AM,10/23/2023 12:00:00 AM,Monday,Religion,Muslim (Islam),Hatecrime Happened,Mischief Wilfully Cause,Orléans Chapel Hill,Sector 31,East,5050125.04,Ward 2 - Orléans West-Innes,Laura Dudas,Criminal
541,1541,2019,10/27/2019 12:00:00 AM,10/26/2019 12:00:00 AM,Saturday,Sexual Orientation,LGBTQ2+,Hatecrime Happened,Assault Level 1,Orléans Avalon - Notting Gate - Fallingbrook - Gardenway South,Sector 31,East,5050171.07,Ward 19 - Orléans South-Navan,Catherine Kitts,Criminal
542,1542,2023,7/24/2023 12:00:00 AM,7/23/2023 12:00:00 AM,Sunday,Immigrants/Newcomers to Canada,Immigrants/Newcomers to Canada,Hatecrime Suspected,Dispute- Neighbour,Russell - Edwards,Sector 37,East,5050126.09,Ward 22 - Riverside South-Findlay Creek,Steve Desroches,Non Criminal
543,1543,2022,2/3/2022 12:00:00 AM,2/3/2022 12:00:00 AM,Thursday,Race/Ethnicity,Black,Hatecrime Happened,Threats Utter To Person,Ledbury - Heron Gate - Ridgemont - Elmwood,Sector 34,East,5050007.02,Ward 18 - Alta Vista,Marty Carr,Criminal
544,1544,2024,1/18/2024 12:00:00 AM,1/18/2024 12:00:00 AM,Thursday,Gender,LGBTQ2+,Hatecrime Happened,Threats Utter To Person,Greenbelt - Mer Bleue,Sector 31,East,5050125.03,Ward 19 - Orléans South-Navan,Catherine Kitts,Criminal
545,1545,2021,8/5/2021 12:00:00 AM,8/5/2021 12:00:00 AM,Thursday,Religion,Jewish,Hatecrime Happened,Mischief To Property,Blackburn Hamlet,Sector 31,East,5050125.03,Ward 2 - Orléans West-Innes,Laura Dudas,Criminal
546,1546,2023,9/13/2023 12:00:00 AM,9/8/2023 12:00:00 AM,Friday,Race/Ethnicity,Black,Hatecrime Happened,Mischief To Property,Metcalfe,Sector 36,East,5050190.01,Ward 20 - Osgoode,George Darouze,Criminal
547,1547,2020,11/15/2020 12:00:00 AM,11/15/2020 12:00:00 AM,Sunday,Religion,Jewish,Hatecrime Happened,Mischief To Property,Blackburn Hamlet,Sector 31,East,5050125.03,Ward 2 - Orléans West-Innes,Laura Dudas,Criminal
548,1548,2023,6/20/2023 12:00:00 AM,6/19/2023 12:00:00 AM,Monday,Unknown,Unknown,Hatecrime Suspected,Harass Harrassment,Blackburn Hamlet,Sector 31,East,5050125.01,Ward 2 - Orléans West-Innes,Laura Dudas,Non Criminal
549,1549,2018,8/25/2018 12:00:00 AM,8/25/2018 12:00:00 AM,Saturday,Race/Ethnicity,Multiple Races/Ethnicities,Hatecrime Happened,Mischief To Property,Orléans Avalon - Notting Gate - Fallingbrook - Gardenway South,Sector 31,East,5050170.13,Ward 1 - Orléans East-Cumberland,Matthew Luloff,Criminal
550,1550,2019,7/15/2019 12:00:00 AM,7/15/2019 12:00:00 AM,Monday,Religion,Other Religion,Hatecrime Happened,Mischief Hate Cultrl/ Rel Prop,Greenbelt - Mer Bleue,Sector 31,East,5050126.04,Ward 10 - Gloucester-Southgate,Jessica Bradley,Criminal
551,1551,2023,5/7/2023 12:00:00 AM,5/6/2023 12:00:00 AM,Saturday,Religion,Muslim (Islam),Hatecrime Suspected,Dispute- Disturbance,Orléans Avalon - Notting Gate - Fallingbrook - Gardenway South,Sector 31,East,5050171.11,Ward 19 - Orléans South-Navan,Catherine Kitts,Non Criminal
552,1552,2021,6/9/2021 12:00:00 AM,6/8/2021 12:00:00 AM,Tuesday,Race/Ethnicity,East and Southeast Asian,Hatecrime Suspected,Mischief To Property,Ledbury - Heron Gate - Ridgemont - Elmwood,Sector 34,East,5050001.09,Ward 10 - Gloucester-Southgate,Jessica Bradley,Criminal
553,1553,2022,9/24/2022 12:00:00 AM,9/24/2022 12:00:00 AM,Saturday,Religion,Muslim (Islam),Hatecrime Happened,Information ( General),East Industrial,Sector 33,East,5050011.01,Ward 18 - Alta Vista,Marty Carr,Non Criminal
554,1554,2023,5/26/2023 12:00:00 AM,5/26/2023 12:00:00 AM,Friday,Sexual Orientation,LGBTQ2+,Hatecrime Happened,Assault With Weapon Or Cbh Lv2,East Industrial,Sector 33,East,5050011.01,Ward 18 - Alta Vista,Marty Carr,Criminal
555,1555,2023,4/4/2023 12:00:00 AM,4/4/2023 12:00:00 AM,Tuesday,Race/Ethnicity,Black,Hatecrime Happened,Mischief To Property,Osgoode,Sector 36,East,5050190.01,Ward 20 - Osgoode,George Darouze,Criminal
556,1556,2021,7/7/2021 12:00:00 AM,7/6/2021 12:00:00 AM,Tuesday,Race/Ethnicity,"Arab(West Asian,Middle Eastern and North African origins)",Hatecrime Suspected,Mischief To Property,Rockcliffe - Manor Park,Sector 25,Central,5050059.00,Ward 13 - Rideau-Rockcliffe,Rawlson King,Criminal
557,1557,2022,12/17/2022 12:00:00 AM,12/17/2022 12:00:00 AM,Saturday,Race/Ethnicity,Black,Hatecrime Happened,Threats Utter To Person,Overbrook - McArthur,Sector 25,Central,5050012.00,Ward 13 - Rideau-Rockcliffe,Rawlson King,Criminal
558,1558,2020,6/17/2020 12:00:00 AM,6/17/2020 12:00:00 AM,Wednesday,Race/Ethnicity,Black,Hatecrime Happened,Dispute- Neighbour,Blackburn Hamlet,Sector 31,East,5050125.02,Ward 2 - Orléans West-Innes,Laura Dudas,Non Criminal
559,1559,2022,8/9/2022 12:00:00 AM,8/9/2022 12:00:00 AM,Tuesday,Race/Ethnicity,"Arab(West Asian,Middle Eastern and North African origins)",Hatecrime Happened,Assault With Weapon Or Cbh Lv2,Orléans Central,Sector 31,East,5050124.01,Ward 2 - Orléans West-Innes,Laura Dudas,Criminal
560,1560,2023,8/14/2023 12:00:00 AM,8/14/2023 12:00:00 AM,Monday,Combination (More than 2 Motivations),Combination (More than 2 Motivations),Hatecrime Suspected,Mischief To Property,Orléans Queenswood Heights,Sector 31,East,5050170.03,Ward 1 - Orléans East-Cumberland,Matthew Luloff,Criminal
561,1561,2022,1/6/2022 12:00:00 AM,1/6/2022 12:00:00 AM,Thursday,Sexual Orientation,LGBTQ2+,Hatecrime Happened,Threats Utter To Person,Orléans Village - Chateauneuf,Sector 31,East,5050125.08,Ward 2 - Orléans West-Innes,Laura Dudas,Criminal
562,1562,2023,11/8/2023 12:00:00 AM,11/8/2023 12:00:00 AM,Wednesday,Religion,Jewish,Hatecrime Happened,Mischief To Property,Ledbury - Heron Gate - Ridgemont - Elmwood,Sector 34,East,5050001.09,Ward 10 - Gloucester-Southgate,Jessica Bradley,Criminal
563,1563,2021,4/11/2021 12:00:00 AM,4/11/2021 12:00:00 AM,Sunday,Race/Ethnicity,Black,Hatecrime Happened,Mischief To Property,Orléans Chapel Hill South,Sector 31,East,5050125.10,Ward 19 - Orléans South-Navan,Catherine Kitts,Criminal
564,1564,2023,2/6/2023 12:00:00 AM,2/5/2023 12:00:00 AM,Sunday,Religion,Catholic,Hatecrime Suspected,Mischief To Property,Orléans Central,Sector 31,East,5050124.01,Ward 1 - Orléans East-Cumberland,Matthew Luloff,Criminal
565,1565,2020,5/29/2020 12:00:00 AM,5/28/2020 12:00:00 AM,Thursday,Religion,Muslim (Islam),Hatecrime Happened,Dispute- Neighbour,Orléans Village - Chateauneuf,Sector 31,East,5050125.08,Ward 2 - Orléans West-Innes,Laura Dudas,Non Criminal
566,1566,2022,9/9/2022 12:00:00 AM,9/9/2022 12:00:00 AM,Friday,Religion,Jewish,Hatecrime Happened,Mischief To Property,Metcalfe,Sector 36,East,5050190.01,Ward 20 - Osgoode,George Darouze,Criminal
567,1567,2022,12/4/2022 12:00:00 AM,12/4/2022 12:00:00 AM,Sunday,Sexual Orientation,LGBTQ2+,Hatecrime Suspected,Fraud Utter Forged Doc,Orléans Avalon - Notting Gate - Fallingbrook - Gardenway South,Sector 31,East,5050170.12,Ward 1 - Orléans East-Cumberland,Matthew Luloff,Criminal
568,1568,2020,8/7/2020 12:00:00 AM,8/7/2020 12:00:00 AM,Friday,Race/Ethnicity,White,Hatecrime Happened,Harass Race/ Religion,Vanier South,Sector 25,Central,5050061.00,Ward 13 - Rideau-Rockcliffe,Rawlson King,Non Criminal
569,1569,2023,12/10/2023 12:00:00 AM,12/9/2023 12:00:00 AM,Saturday,Religion,Jewish,Hatecrime Happened,Mischief To Property,Orléans Chapel Hill South,Sector 31,East,5050125.10,Ward 19 - Orléans South-Navan,Catherine Kitts,Criminal
570,1570,2018,10/24/2018 12:00:00 AM,10/24/2018 12:00:00 AM,Wednesday,Religion,Muslim (Islam),Hatecrime Happened,Mischief Cultural Property,Emerald Woods - Sawmill Creek,Sector 35,East,5050123.01,Ward 10 - Gloucester-Southgate,Jessica Bradley,Criminal
571,1571,2023,12/13/2023 12:00:00 AM,12/13/2023 12:00:00 AM,Wednesday,Race/Ethnicity,"Arab(West Asian,Middle Eastern and North African origins)",Hatecrime Happened,Mischief Hate Cultrl/ Rel Prop,Elmvale - Eastway - Riverview - Riverview Park West,Sector 33,East,5050011.04,Ward 18 - Alta Vista,Marty Carr,Criminal
572,1572,2023,9/5/2023 12:00:00 AM,9/1/2023 12:00:00 AM,Friday,Race/Ethnicity,Black,Hatecrime Suspected,B&e Non- Res.prop/ Commercial,Playfair Park - Lynda Park - Guildwood Estates,Sector 34,East,5050007.03,Ward 18 - Alta Vista,Marty Carr,Criminal
573,1573,2021,4/5/2021 12:00:00 AM,4/5/2021 12:00:00 AM,Monday,Sexual Orientation,LGBTQ2+,Hatecrime Happened,Mischief To Property,Playfair Park - Lynda Park - Guildwood Estates,Sector 34,East,5050007.03,Ward 18 - Alta Vista,Marty Carr,Criminal
574,1574,2020,5/6/2020 12:00:00 AM,5/6/2020 12:00:00 AM,Wednesday,Race/Ethnicity,East and Southeast Asian,Hatecrime Suspected,Information ( General),Orléans Avalon - Notting Gate - Fallingbrook - Gardenway South,Sector 31,East,5050171.05,Ward 1 - Orléans East-Cumberland,Matthew Luloff,Non Criminal
575,1575,2021,3/31/2021 12:00:00 AM,3/31/2021 12:00:00 AM,Wednesday,Race/Ethnicity,"Arab(West Asian,Middle Eastern and North African origins)",Hatecrime Happened,Dispute- Disturbance,Ledbury - Heron Gate - Ridgemont - Elmwood,Sector 34,East,5050007.02,Ward 18 - Alta Vista,Marty Carr,Non Criminal
576,1576,2022,10/26/2022 12:00:00 AM,10/26/2022 12:00:00 AM,Wednesday,Religion,Jewish,Hatecrime Happened,Mischief Hate Cultrl/ Rel Prop,Navan - Carlsbad Springs,Sector 37,East,5050171.03,Ward 19 - Orléans South-Navan,Catherine Kitts,Criminal
577,1577,2022,10/13/2022 12:00:00 AM,10/5/2022 12:00:00 AM,Wednesday,Religion,Jewish,Hatecrime Happened,Mischief To Property,Navan - Carlsbad Springs,Sector 37,East,5050171.03,Ward 19 - Orléans South-Navan,Catherine Kitts,Criminal
578,1578,2022,12/8/2022 12:00:00 AM,12/8/2022 12:00:00 AM,Thursday,Religion,Jewish,Hatecrime Happened,Mischief To Property,Orléans Central,Sector 31,East,5050124.01,Ward 2 - Orléans West-Innes,Laura Dudas,Criminal
579,1579,2024,1/8/2024 12:00:00 AM,1/8/2024 12:00:00 AM,Monday,Race/Ethnicity,"India,Pakistan/South Asian",Hatecrime Suspected,Threats To Property/ Animal,Orléans Chapel Hill South,Sector 31,East,5050125.11,Ward 19 - Orléans South-Navan,Catherine Kitts,Criminal
580,1580,2020,7/1/2020 12:00:00 AM,6/30/2020 12:00:00 AM,Tuesday,Race/Ethnicity,Black,Hatecrime Happened,Mischief To Property,Orléans Avalon - Notting Gate - Fallingbrook - Gardenway South,Sector 31,East,5050171.12,Ward 19 - Orléans South-Navan,Catherine Kitts,Criminal
581,1581,2018,11/30/2018 12:00:00 AM,11/30/2018 12:00:00 AM,Friday,Religion,Jewish,Hatecrime Happened,Mischief To Property,Orléans Chapel Hill,Sector 31,East,5050125.04,Ward 2 - Orléans West-Innes,Laura Dudas,Criminal
582,1582,2020,7/31/2020 12:00:00 AM,5/22/2020 12:00:00 AM,Friday,Race/Ethnicity,Black,Hatecrime Suspected,Harass Race/ Religion,Cumberland,Sector 37,East,5050171.06,Ward 1 - Orléans East-Cumberland,Matthew Luloff,Non Criminal
583,1583,2021,2/9/2021 12:00:00 AM,2/8/2021 12:00:00 AM,Monday,Religion,Jewish,Hatecrime Suspected,Mischief To Property,Overbrook - McArthur,Sector 25,Central,5050012.00,Ward 13 - Rideau-Rockcliffe,Rawlson King,Criminal
584,1584,2021,9/13/2021 12:00:00 AM,9/13/2021 12:00:00 AM,Monday,Race/Ethnicity,Black,Hatecrime Happened,Mischief To Property,Orléans Chapel Hill South,Sector 31,East,5050125.10,Ward 19 - Orléans South-Navan,Catherine Kitts,Criminal
585,1585,2023,8/22/2023 12:00:00 AM,8/19/2023 12:00:00 AM,Saturday,Sexual Orientation,LGBTQ2+,Hatecrime Suspected,Mischief To Property,Orléans Avalon - Notting Gate - Fallingbrook - Gardenway South,Sector 31,East,5050170.09,Ward 1 - Orléans East-Cumberland,Matthew Luloff,Criminal
586,1586,2021,3/22/2021 12:00:00 AM,3/22/2021 12:00:00 AM,Monday,Race/Ethnicity,Black,Hatecrime Happened,Harass Crim Stalking,Emerald Woods - Sawmill Creek,Sector 35,East,5050123.01,Ward 10 - Gloucester-Southgate,Jessica Bradley,Criminal
587,1587,2022,9/16/2022 12:00:00 AM,9/11/2022 12:00:00 AM,Sunday,Religion,Catholic,Hatecrime Suspected,Mischief To Property,Orléans North West,Sector 31,East,5050124.02,Ward 2 - Orléans West-Innes,Laura Dudas,Criminal
588,1588,2019,9/20/2019 12:00:00 AM,9/18/2019 12:00:00 AM,Wednesday,Religion,Catholic,Hatecrime Happened,Mischief Hate Cultrl/ Rel Prop,Orléans North West,Sector 31,East,5050124.02,Ward 2 - Orléans West-Innes,Laura Dudas,Criminal
589,1589,2019,9/19/2019 12:00:00 AM,7/22/2019 12:00:00 AM,Monday,Religion,Catholic,Hatecrime Happened,Mischief Hate Cultrl/ Rel Prop,Orléans North West,Sector 31,East,5050124.02,Ward 2 - Orléans West-Innes,Laura Dudas,Criminal
590,1590,2021,8/20/2021 12:00:00 AM,8/20/2021 12:00:00 AM,Friday,Sexual Orientation,LGBTQ2+,Hatecrime Happened,Mischief To Property,Orléans Village - Chateauneuf,Sector 31,East,5050125.09,Ward 2 - Orléans West-Innes,Laura Dudas,Criminal
591,1591,2023,5/21/2023 12:00:00 AM,5/21/2023 12:00:00 AM,Sunday,Race/Ethnicity,Black,Hatecrime Suspected,Mischief To Property,Cummings,Sector 32,East,5050061.00,Ward 13 - Rideau-Rockcliffe,Rawlson King,Criminal
592,1592,2019,5/16/2019 12:00:00 AM,5/16/2019 12:00:00 AM,Thursday,Religion,Jewish,Hatecrime Happened,Mischief To Property,Orléans Avalon - Notting Gate - Fallingbrook - Gardenway South,Sector 31,East,5050170.09,Ward 1 - Orléans East-Cumberland,Matthew Luloff,Criminal
593,1593,2023,8/12/2023 12:00:00 AM,8/12/2023 12:00:00 AM,Saturday,Race/Ethnicity,Black,Hatecrime Happened,"Threats Harass, Intim, Violent",Cummings,Sector 32,East,5050012.00,Ward 11 - Beacon Hill-Cyrville,Tim Tierney,Criminal
