OBJECTID,ID,Year,Reported Date,Occurred Date,Weekday,Hate Crime Type,Hate Crime Motivation,Hate Crime Status,Offence Category,Neighbourhood,Sector,Division,Census Tract,Ward,Councillor,Offence Type
1372,683,2021,6/11/2021 12:00:00 AM,6/11/2021 12:00:00 AM,Friday,Race/Ethnicity,Multiple Races/Ethnicities,Hatecrime Happened,Mischief To Property,Westboro,Sector 21,Central,5050033.02,Ward 15 - Kitchissippi,Jeff Leiper,Criminal
1373,684,2018,4/1/2018 12:00:00 AM,4/1/2018 12:00:00 AM,Sunday,Religion,Muslim (Islam),Hatecrime Happened,Mischief To Property,West Centertown,Sector 22,Central,5050035.00,Ward 14 - Somerset,Ariel Troster,Criminal
1374,685,2021,6/26/2021 12:00:00 AM,6/26/2021 12:00:00 AM,Saturday,Race/Ethnicity,Black,Hatecrime Happened,Mischief To Property,New Barrhaven - New Development - Stonebridge,Sector 16,West,5050141.22,Ward 24 - Barrhaven East,Wilson Lo,Criminal
1375,686,2022,6/2/2022 12:00:00 AM,6/2/2022 12:00:00 AM,Thursday,Race/Ethnicity,East and Southeast Asian,Hatecrime Happened,Mischief Hate Cultrl/ Rel Prop,New Barrhaven - New Development - Stonebridge,Sector 16,West,5050141.22,Ward 24 - Barrhaven East,Wilson Lo,Criminal
1376,687,2022,9/20/2022 12:00:00 AM,7/4/2022 12:00:00 AM,Monday,Sexual Orientation,LGBTQ2+,Hatecrime Happened,Information ( General),Borden Farm - Stewart Farm - Parkwood Hills - Fisher Glen,Sector 17,West,5050131.02,Ward 9 - Knoxdale-Merivale,Sean Devine,Non Criminal
1377,688,2022,12/16/2022 12:00:00 AM,12/16/2022 12:00:00 AM,Friday,Religion,Other Religion,Hatecrime Happened,Mischief Hate Cultrl/ Rel Prop,New Barrhaven - New Development - Stonebridge,Sector 16,West,5050141.04,Ward 3 - Barrhaven West,David Hill,Criminal
1378,689,2021,12/11/2021 12:00:00 AM,12/11/2021 12:00:00 AM,Saturday,Race/Ethnicity,Black,Hatecrime Happened,Assault Level 1,West Centertown,Sector 22,Central,5050042.00,Ward 14 - Somerset,Ariel Troster,Criminal
1379,690,2022,7/20/2022 12:00:00 AM,7/19/2022 12:00:00 AM,Tuesday,Race/Ethnicity,East and Southeast Asian,Hatecrime Suspected,Suspicious Person( S),Centretown,Sector 23,Central,5050037.01,Ward 14 - Somerset,Ariel Troster,Non Criminal
1380,691,2023,4/18/2023 12:00:00 AM,4/17/2023 12:00:00 AM,Monday,Religion,Jewish,Hatecrime Happened,Mischief To Property,Chapman Mills - Rideau Crest - Davidson Heights,Sector 16,West,5050141.09,Ward 24 - Barrhaven East,Wilson Lo,Criminal
1381,692,2019,4/16/2019 12:00:00 AM,4/16/2019 12:00:00 AM,Tuesday,Race/Ethnicity,Multiple Races/Ethnicities,Hatecrime Happened,Mischief To Property,West Centertown,Sector 22,Central,5050035.00,Ward 14 - Somerset,Ariel Troster,Criminal
1382,693,2020,8/12/2020 12:00:00 AM,8/12/2020 12:00:00 AM,Wednesday,Race/Ethnicity,Black,Hatecrime Happened,Mischief To Property,West Centertown,Sector 22,Central,5050035.00,Ward 14 - Somerset,Ariel Troster,Criminal
1383,694,2020,6/16/2020 12:00:00 AM,6/13/2020 12:00:00 AM,Saturday,Race/Ethnicity,Multiple Races/Ethnicities,Hatecrime Happened,Information ( General),West Centertown,Sector 22,Central,5050035.00,Ward 14 - Somerset,Ariel Troster,Non Criminal
1384,695,2023,6/5/2023 12:00:00 AM,6/5/2023 12:00:00 AM,Monday,Sexual Orientation,LGBTQ2+,Hatecrime Happened,Mischief To Property,Island Park,Sector 21,Central,5050045.01,Ward 15 - Kitchissippi,Jeff Leiper,Criminal
1385,696,2024,1/24/2024 12:00:00 AM,1/21/2024 12:00:00 AM,Sunday,Gender,Woman,Hatecrime Suspected,Dispute- Disturbance,Byward Market,Sector 24,Central,5050054.00,Ward 12 - Rideau-Vanier,Stéphanie Plante,Non Criminal
1386,697,2023,3/14/2023 12:00:00 AM,3/13/2023 12:00:00 AM,Monday,Race/Ethnicity,Black,Hatecrime Happened,Mischief To Property,Byward Market,Sector 24,Central,5050054.00,Ward 12 - Rideau-Vanier,Stéphanie Plante,Criminal
1387,698,2023,3/11/2023 12:00:00 AM,3/1/2023 12:00:00 AM,Wednesday,Race/Ethnicity,Black,Hatecrime Happened,Mischief To Property,Byward Market,Sector 24,Central,5050054.00,Ward 12 - Rideau-Vanier,Stéphanie Plante,Criminal
1388,699,2023,2/12/2023 12:00:00 AM,2/6/2023 12:00:00 AM,Monday,Sexual Orientation,LGBTQ2+,Hatecrime Happened,Assault Level 1,Byward Market,Sector 24,Central,5050054.00,Ward 12 - Rideau-Vanier,Stéphanie Plante,Criminal
1389,700,2020,10/12/2020 12:00:00 AM,10/9/2020 12:00:00 AM,Friday,Race/Ethnicity,East and Southeast Asian,Hatecrime Happened,Dispute- Disturbance,Byward Market,Sector 24,Central,5050054.00,Ward 12 - Rideau-Vanier,Stéphanie Plante,Non Criminal
1390,701,2024,1/7/2024 12:00:00 AM,1/5/2024 12:00:00 AM,Friday,Race/Ethnicity,"Arab(West Asian,Middle Eastern and North African origins)",Hatecrime Happened,Harass Harrassment,Byward Market,Sector 24,Central,5050054.00,Ward 12 - Rideau-Vanier,Stéphanie Plante,Non Criminal
1391,702,2023,4/1/2023 12:00:00 AM,4/1/2023 12:00:00 AM,Saturday,Race/Ethnicity,Black,Hatecrime Suspected,Dispute- Disturbance,Byward Market,Sector 24,Central,5050054.00,Ward 12 - Rideau-Vanier,Stéphanie Plante,Non Criminal
1392,703,2023,1/10/2023 12:00:00 AM,1/10/2023 12:00:00 AM,Tuesday,Combination (More than 2 Motivations),Combination (More than 2 Motivations),Hatecrime Happened,Dispute- Disturbance,Byward Market,Sector 24,Central,5050054.00,Ward 12 - Rideau-Vanier,Stéphanie Plante,Non Criminal
1393,704,2020,12/12/2020 12:00:00 AM,12/12/2020 12:00:00 AM,Saturday,Race/Ethnicity,Black,Hatecrime Happened,Assault Level 1,Byward Market,Sector 24,Central,5050054.00,Ward 12 - Rideau-Vanier,Stéphanie Plante,Criminal
1394,705,2023,3/1/2023 12:00:00 AM,2/28/2023 12:00:00 AM,Tuesday,Religion,Jewish,Hatecrime Happened,Mischief To Property,Byward Market,Sector 24,Central,5050054.00,Ward 12 - Rideau-Vanier,Stéphanie Plante,Criminal
1395,706,2019,1/8/2019 12:00:00 AM,1/8/2019 12:00:00 AM,Tuesday,Race/Ethnicity,Black,Hatecrime Happened,Assault Level 1,Byward Market,Sector 24,Central,5050054.00,Ward 12 - Rideau-Vanier,Stéphanie Plante,Criminal
1396,707,2023,10/24/2023 12:00:00 AM,10/24/2023 12:00:00 AM,Tuesday,Religion,Muslim (Islam),Hatecrime Happened,Harass Crim Stalking,Byward Market,Sector 24,Central,5050054.00,Ward 12 - Rideau-Vanier,Stéphanie Plante,Criminal
1397,708,2023,3/16/2023 12:00:00 AM,3/1/2023 12:00:00 AM,Wednesday,Religion,Jewish,Hatecrime Happened,Mischief To Property,Byward Market,Sector 24,Central,5050054.00,Ward 12 - Rideau-Vanier,Stéphanie Plante,Criminal
1398,709,2021,5/19/2021 12:00:00 AM,5/18/2021 12:00:00 AM,Tuesday,Race/Ethnicity,Unknown race/ethnicity,Hatecrime Suspected,Dispute- Disturbance,Borden Farm - Stewart Farm - Parkwood Hills - Fisher Glen,Sector 17,West,5050131.02,Ward 9 - Knoxdale-Merivale,Sean Devine,Non Criminal
1399,710,2023,12/1/2023 12:00:00 AM,12/1/2023 12:00:00 AM,Friday,Race/Ethnicity,Chinese,Hatecrime Suspected,Mischief Cultural Property,West Centertown,Sector 22,Central,5050041.00,Ward 14 - Somerset,Ariel Troster,Criminal
